source_file,vignette_id,window_id,condition,target_ifs_goal,expected_retrieval_theme,query_preview,response_preview,top_sources,parts_language,curiosity,non_pathologizing,ifs_alignment,ifs_adherence_score,grounding_score,failure_notes,reviewer
v004__v004_w2__hierarchical.json,V004,V004_W2,hierarchical,reframe shutdown as protective and invite non-judgmental curiosity,"protectors, positive intent, non-pathologizing language","Coach: If that wall-building part could speak, what might it say it is trying to do? Client: Probably keep me from getting overwhelmed or hurt. Coach: That sounds like it may be working hard for you. Client: I never thought of it that way. I usually just judge myself for shutting down. Coach: It may...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy for Addictions :: SEC04 > 03 Addiction Polarity | Internal Family Systems Therapy for Addictions :: SEC04 > 03 Addiction Polarity | Internal Family Systems Therapy for Addictions :: SEC04 > 02 Agenda,,,,,,,,
v004__v004_w2__medium_overlap.json,V004,V004_W2,medium_overlap,reframe shutdown as protective and invite non-judgmental curiosity,"protectors, positive intent, non-pathologizing language","Coach: If that wall-building part could speak, what might it say it is trying to do? Client: Probably keep me from getting overwhelmed or hurt. Coach: That sounds like it may be working hard for you. Client: I never thought of it that way. I usually just judge myself for shutting down. Coach: It may...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC02 > PT01 > P1 Learning | Internal Family Systems Couple Therapy :: SEC02 > PT03 > P3 Ending | Internal Family Systems Couple Therapy :: SEC02 > PT03 > Communication,,,,,,,,
v004__v004_w2__small_fixed.json,V004,V004_W2,small_fixed,reframe shutdown as protective and invite non-judgmental curiosity,"protectors, positive intent, non-pathologizing language","Coach: If that wall-building part could speak, what might it say it is trying to do? Client: Probably keep me from getting overwhelmed or hurt. Coach: That sounds like it may be working hard for you. Client: I never thought of it that way. I usually just judge myself for shutting down. Coach: It may...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC02 > PT01 > P1 Learning | Transcending Trauma :: SEC02 > Protective Parts | Internal Family Systems Skills Training Manual :: SEC03 > Manual Treatment,,,,,,,,
v005__v005_w1__hierarchical.json,V005,V005_W1,hierarchical,differentiate multiple parts and clarify their conflict,"polarization, managers, inner conflict between parts","Client: Part of me wants to rest, but another part says I'm being lazy if I do. Coach: It sounds like there may be at least two parts there. What do you notice about each one? Client: One feels exhausted and desperate for a break. The other is sharp and demanding. Coach: How does the demanding one s...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy for Addictions :: SEC04 > 03 Addiction Polarity | Internal Family Systems Therapy for Addictions :: SEC04 > 02 Agenda | Internal Family Systems Therapy for Addictions :: SEC04 > 03 Addiction Polarity,,,,,,,,
v005__v005_w1__medium_overlap.json,V005,V005_W1,medium_overlap,differentiate multiple parts and clarify their conflict,"polarization, managers, inner conflict between parts","Client: Part of me wants to rest, but another part says I'm being lazy if I do. Coach: It sounds like there may be at least two parts there. What do you notice about each one? Client: One feels exhausted and desperate for a break. The other is sharp and demanding. Coach: How does the demanding one s...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC02 > PT01 > P1 Learning | Internal Family Systems Couple Therapy :: SEC02 > PT03 > P3 Ending | Internal Family Systems Couple Therapy :: SEC03 > Relational,,,,,,,,
v005__v005_w1__small_fixed.json,V005,V005_W1,small_fixed,differentiate multiple parts and clarify their conflict,"polarization, managers, inner conflict between parts","Client: Part of me wants to rest, but another part says I'm being lazy if I do. Coach: It sounds like there may be at least two parts there. What do you notice about each one? Client: One feels exhausted and desperate for a break. The other is sharp and demanding. Coach: How does the demanding one s...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC03 > Relational | Internal Family Systems Couple Therapy :: SEC02 > PT03 > P3 Ending | Internal Family Systems Therapy for Addictions :: SEC03 > Assesment,,,,,,,,
v005__v005_w2__hierarchical.json,V005,V005_W2,hierarchical,shift from annoyance to curiosity and explore the manager's fear,"protectors, polarization, fear underneath control","Coach: And how do you feel toward that demanding part as you notice it? Client: Annoyed, but I also get that it's scared. Coach: That sounds important. What might it be afraid would happen if it didn't push so hard? Client: Maybe that I'd lose control or become worthless. Coach: That gives us a chan...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC04 > Challenges | Internal Family Systems Therapy for Addictions :: SEC04 > 04 Intervening | Internal Family Systems Couple Therapy :: SEC04 > Challenges,,,,,,,,
v005__v005_w2__medium_overlap.json,V005,V005_W2,medium_overlap,shift from annoyance to curiosity and explore the manager's fear,"protectors, polarization, fear underneath control","Coach: And how do you feel toward that demanding part as you notice it? Client: Annoyed, but I also get that it's scared. Coach: That sounds important. What might it be afraid would happen if it didn't push so hard? Client: Maybe that I'd lose control or become worthless. Coach: That gives us a chan...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC02 > PT03 > Communication | Internal Family Systems Couple Therapy :: SEC02 > PT01 > P1 Learning | Internal Family Systems Couple Therapy :: SEC03 > Relational,,,,,,,,
v005__v005_w2__small_fixed.json,V005,V005_W2,small_fixed,shift from annoyance to curiosity and explore the manager's fear,"protectors, polarization, fear underneath control","Coach: And how do you feel toward that demanding part as you notice it? Client: Annoyed, but I also get that it's scared. Coach: That sounds important. What might it be afraid would happen if it didn't push so hard? Client: Maybe that I'd lose control or become worthless. Coach: That gives us a chan...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Transcending Trauma :: SEC02 > Protective Parts | Internal Family Systems Couple Therapy :: SEC03 > Relational | Internal Family Systems Therapy: New Dimensions :: CH02 > Shame,,,,,,,,
v006__v006_w1__hierarchical.json,V006,V006_W1,hierarchical,identify the urge-to-drink part as a protective part,"firefighters, compulsive soothing, protective numbing",Client: By the end of the day I feel so wound up that I just want a drink immediately. Coach: What do you notice inside right before that urge shows up? Client: It feels like everything is buzzing. My mind won't stop. Coach: Does it seem like a part of you reaches for the drink to change that state?,"[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy for Addictions :: SEC04 > 11 Firefighters Run System | Internal Family Systems Therapy for Addictions :: SEC04 > 03 Addiction Polarity | Internal Family Systems Therapy for Addictions :: SEC04 > 03 Addiction Polarity,,,,,,,,
