file,condition,query,generated_response,top_retrieval_sources,ifs_adherence_score,grounding_score,specificity_score,retrieval_relevance_score,genericity_flag,hallucination_flag,notes,reviewer
v002__v002_w2__medium_overlap.json,medium_overlap,"Coach: So it may believe criticizing you is helping?
Client: I hate it, but yes, it does feel like it thinks it's doing something useful.
Coach: What do you imagine it is afraid would happen if it stopped criticizing?
Client: Maybe that I'd become lazy or embarrass myself even more.
Coach: That sounds like an important fear to get curious about.","It is very common for parts like this—which we might call ""managers""—to use self-criticism as a way to keep you moving forward or to prevent you from being embarrassed. While the criticism feels painful, this part likely believes its proactive, future-oriented approach is necessary to protect you from something even more difficult.

We can continue to get curious about this part using a nonjudgmental approach. You might try to ""flesh out"" this part by noticing how it shows up in your body or what its original intentions were for you. By befriending the part and acknowledging its fears, you may find it becomes more willing to trust your Self and eventually share what vulnerable or hurt parts it is trying to shield.

**Grounding notes:**
* Manager parts are often proactive and future-oriented, using behaviors like self-criticism to help a person improve or make progress.
* Protective parts typically act the way they do because they are shielding more vulnerable, ""exiled"" parts of the system.
* Nonjudgmental inquiry (such as the ""6 F's"") helps a client understand a part's role and fears, which can lead to the part unblending or calming down.
* Validating a protector's fears is a key step in helping it relax so the client can safely connect with the internal system.",Internal Family Systems Therapy for Addictions | SEC01 > Overview ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment,5,4,3,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v002__v002_w2__small_fixed.json,small_fixed,"Coach: So it may believe criticizing you is helping?
Client: I hate it, but yes, it does feel like it thinks it's doing something useful.
Coach: What do you imagine it is afraid would happen if it stopped criticizing?
Client: Maybe that I'd become lazy or embarrass myself even more.
Coach: That sounds like an important fear to get curious about.","It makes sense that this part is working so hard to protect you from the pain of embarrassment or the risk of ""becoming lazy."" This critical manager seems to believe its harshness is a necessary tool to keep you safe and productive. We can appreciate its protective intent while remaining curious about the specific fears it carries.

To help this part unblend and feel seen, you might notice where you feel its presence in your body. You could also gently ask this part how old it thinks you are right now. Often, these parts are stuck in a past scenario and may not realize that you have grown or that you might be capable of handling those vulnerable feelings now without its constant criticism.

As we stay in a curious relationship with this part, we can eventually discover what it would need to trust you more. By meeting its disclosure with acknowledgment and mirroring rather than judgment, we help the part feel safe enough to share what it is truly worried about without it needing to overwhelm you.

Grounding notes:
* Identifying the ""critical manager"" and its protective role in preventing embarrassment or ""laziness"" (Rank 1).
* Asking the part how old it thinks the person is to help reveal who or what is being protected (Rank 2).
* Using curiosity and validation to discover the part's fears and what it needs to trust the connection (Rank 1 & 2).
* Mirroring the part’s concerns to prevent a response of deep shame or further protective reactions (Rank 3).",Internal Family Systems Therapy for Addictions | SEC01 > Overview ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Couple Therapy | SEC02 > PT03 > Communication,4,5,4,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v003__v003_w1__hierarchical.json,hierarchical,"Client: I say yes to things I don't want to do, and then I end up resentful.
Coach: What do you notice inside when you imagine saying no instead?
Client: Panic. Like I'm about to disappoint someone and then they won't want me around.
Coach: That sounds like a strong reaction. Is there a part that steps in to keep that from happening?
Client: Yeah, a part that just tries to be easy and agreeable all the time.","It sounds like you have identified an important protector in your system. This ""easy and agreeable"" part has a very clear and positive intention: it works to shield you from that intense panic and the painful fear of being abandoned or unwanted. In IFS, we understand that these parts take on such roles to ensure your safety and connection to others, even if the unintended result is a feeling of resentment later on.

To get to know this part better, you might try to ""find"" where it resides in or around your body. By focusing on the physical sensation of being ""agreeable"" and noticing how you feel toward it, you can begin the process of ""unblending."" This simply means giving yourself a little bit of space to witness the part with curiosity rather than being fully taken over by its urge to say yes. When the protector feels that its hard work is seen and appreciated, it may eventually feel safe enough to let you learn more about the panic it is trying so hard to prevent.

**Grounding notes:**
*   Protective parts often take on extreme roles, such as being overly agreeable, to keep a person safe from underlying pain or ""exiled"" feelings like panic.
*   ""Unblending"" is the process of helping a part separate from the Self so the client can get to know the part with curiosity and compassion.
*   Locating a part’s sensation in or around the body (the ""Find"" step) is a primary way to begin working with a specific target part.
*   Protectors often fear that if they stop their job, the system will be overwhelmed by intense feelings, such as the fear of being ""disappointed"" or rejected.",Transcending Trauma | SEC02 > Protective Parts ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Transcending Trauma | SEC02 > Protective Parts,5,4,4,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v003__v003_w1__medium_overlap.json,medium_overlap,"Client: I say yes to things I don't want to do, and then I end up resentful.
Coach: What do you notice inside when you imagine saying no instead?
Client: Panic. Like I'm about to disappoint someone and then they won't want me around.
Coach: That sounds like a strong reaction. Is there a part that steps in to keep that from happening?
Client: Yeah, a part that just tries to be easy and agreeable all the time.","It sounds like this ""easy and agreeable"" part has been working very hard to protect you from that intense feeling of panic. By stepping in to say yes, it is trying to ensure you aren't rejected or left alone. We can appreciate that this part has a positive intention, even if the result leaves you feeling resentful later on.

When you think about this agreeable part right now, how do you feel toward it? Taking a moment to notice your feelings about the part can help us ""unblend,"" or create just enough space so you can look at the part with curiosity rather than being overwhelmed by it. If you feel a sense of calm or interest toward it, we might eventually ask this part what it is afraid would happen if it didn't step in to take over.

That panic you feel when imagining saying ""no"" suggests there may be a more vulnerable part underneath that is worried about being disappointed or cast aside. If it feels right, we can pause and breathe, simply acknowledging that this vulnerable part is there. We don't have to hear its whole story right now, but we can let it know we notice its presence and are interested in learning more when it feels safe.

**Grounding notes:**
* Unblending involves helping a client notice a part as a separate feeling or thought so they are no longer engulfed by it.
* Protective parts, like the ""agreeable"" one, often act as managers to shield the system from more vulnerable feelings or ""exiles.""
* When a vulnerable part ""pops up"" with a strong emotion like panic, a coach can invite the client to briefly acknowledge it and ask what it wants them to know.
* A ""mini-unblend"" (pausing and breathing) can help settle the system when parts begin to feel overwhelming or chaotic.",Internal Family Systems Therapy for Addictions | SEC04 > 12 Exile ; Internal Family Systems Therapy for Addictions | SEC01 > Overview ; Internal Family Systems Therapy for Addictions | SEC01 > Overview,5,4,5,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v003__v003_w1__small_fixed.json,small_fixed,"Client: I say yes to things I don't want to do, and then I end up resentful.
Coach: What do you notice inside when you imagine saying no instead?
Client: Panic. Like I'm about to disappoint someone and then they won't want me around.
Coach: That sounds like a strong reaction. Is there a part that steps in to keep that from happening?
Client: Yeah, a part that just tries to be easy and agreeable all the time.","It sounds like you have a very active ""parts detector"" online right now. You’ve identified a part of you that tries to be easy and agreeable to protect you from a deep sense of panic. This part seems to believe that saying ""no"" will lead to disappointment and rejection, so it steps in to keep you safe by saying ""yes."" In IFS, we see this as a protective intention; this part is working hard to ensure you stay connected to others, even if it leaves you feeling resentful later.

When a part is this blended with you, it can be helpful to gently notice its fears without trying to force it to change. We might wonder what this agreeable part is afraid would happen if it didn't take over in those moments. By interviewing the part about its intentions, you may find that it is simply trying to manage your relationships to prevent a worst-case scenario. Taking a moment to appreciate the job it has been doing can sometimes help it feel safe enough to give you a little more space.

**Grounding notes:**
* Coaches act as ""parts detectors"" to help clients notice and unblend from the different feelings and urges they experience.
* Protective parts often have specific fears and intentions, such as preventing rejection or managing how others perceive us.
* It is important to gain a part’s genuine permission and understanding before trying to move past it, as parts may sometimes act compliantly just to keep the process moving.
* When a part is blended, encouraging it to share its feelings can help the Self listen and appreciate the protective role the part is playing.",Transcending Trauma | SEC02 > Protective Parts ; Internal Family Systems Therapy for Addictions | SEC04 > 05 Deescalating ; Internal Family Systems Therapy for Addictions | SEC01 > Overview,3,4,3,3,no,no,explicit grounding behavior,auto_eval_v2
v003__v003_w2__hierarchical.json,hierarchical,"Coach: How do you feel toward that agreeable part right now?
Client: Mixed. I appreciate that it helps me avoid conflict, but I'm tired of it running everything.
Coach: That makes sense. What do you think it is protecting you from?
Client: Feeling rejected. Or feeling like I'm too much.
Coach: That gives us an important place to stay curious.","It is very common to feel ""mixed"" when a protective part has been in the driver’s seat for a long time. This agreeable part has a clear positive intention: it is working heroically to shield you from the painful ""exile"" feelings of rejection or the fear of being ""too much."" While another part of you is understandably tired of it running everything, we can approach the agreeable part with compassion. It has likely been doing this job for many years, perhaps since you were quite young, and it may not realize that you have a ""Self of today"" with the internal strength to handle those difficult emotions.

We can stay curious about this ""mixed"" feeling, as it often suggests a second part is reacting to the agreeable one. We might ask that ""tired"" part if it would be willing to step back for a moment so you can get to know the agreeable one better. When we find, focus, and flesh out this part, we can ask it how old it thinks you are and what it fears would happen if it stopped being so agreeable. Often, these protectors are exhausted and would appreciate a new role, but they need to feel certain that the vulnerable parts they guard are truly safe first.

By befriending this part rather than trying to push it away, we honor its goal of self-preservation. Our goal is to foster a trusting relationship where this protector feels seen and understood by your Self. As it begins to trust your internal leadership, it may eventually grant permission to help heal the underlying wounds it has been so steadfastly protecting.

**Grounding notes:**
* All protective parts, even those that seem problematic, have a positive intention to keep the person safe from pain.
* ""Mixed"" feelings indicate that another part is blended or reacting, and it may need to ""unblend"" (separate) to allow for clear curiosity toward the target part.
* Protective parts are often stuck in the past and need to be ""updated"" to realize the client is now an adult with more resources.
* Gaining permission from a protector involves validating its hard work and addressing its specific fears about what happens if it stops its job.",Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Transcending Trauma | SEC02 > Protective Parts,5,5,4,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v003__v003_w2__medium_overlap.json,medium_overlap,"Coach: How do you feel toward that agreeable part right now?
Client: Mixed. I appreciate that it helps me avoid conflict, but I'm tired of it running everything.
Coach: That makes sense. What do you think it is protecting you from?
Client: Feeling rejected. Or feeling like I'm too much.
Coach: That gives us an important place to stay curious.","It is very common for a part of the system to feel tired of a protector that ""runs everything."" At the same time, we want to acknowledge the agreeable part’s dedication; it has taken on the heavy duty of shielding you from the painful feelings of being ""too much"" or rejected. In IFS, we recognize that these protectors often work tirelessly because they are knowledgeable about the delicate ecology of your inner system and worry about what might happen if they relax their guard.

Since you’ve identified the vulnerability underneath, we can proceed with care. We want to honor the agreeable part's fear of emotional overwhelm—the concern that if it stops managing things, those feelings of rejection might flood the system. We can ask this protector if it would be willing to step back just a little, provided we promise to move slowly and ask the vulnerable part not to overwhelm you. This creates space for your Self to act as a compassionate companion to both the protector and the vulnerable feelings it carries.

**Grounding notes:**
* Protectors deserve to be understood, appreciated, and comforted before a client attempts to approach their more vulnerable, ""exiled"" parts (Rank 3).
* The primary fear of many protectors is that the system will be overwhelmed by the intense emotions of an exile (Rank 2).
* When parts ""blend"" or take over, we can negotiate with them to unblend by promising to give them the attention they crave at a safe pace (Rank 1).
* Rather than forcing change, we invite protectors to consider what new roles they might prefer once the parts they protect no longer feel so vulnerable (Rank 3).",Internal Family Systems Therapy for Addictions | SEC04 > 12 Exile ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Therapy | PT01 > 01 Origins,4,5,4,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v003__v003_w2__small_fixed.json,small_fixed,"Coach: How do you feel toward that agreeable part right now?
Client: Mixed. I appreciate that it helps me avoid conflict, but I'm tired of it running everything.
Coach: That makes sense. What do you think it is protecting you from?
Client: Feeling rejected. Or feeling like I'm too much.
Coach: That gives us an important place to stay curious.","It is very common to feel ""mixed"" when a part has been working so hard to protect you. It sounds like this agreeable part might be blended right now, leading to that feeling of it ""running everything."" We can appreciate its positive intent in wanting to keep you safe from the pain of rejection, which is a significant and exhausting role for it to carry.

We might stay curious about what this protector is concerned would happen if it were to unblend or step back just a little. Often, parts like this are afraid that if they relax their guard, you might be overwhelmed by the very feelings of being ""too much"" that it is trying to hide. By acknowledging its fears and validating its experience, we can help it feel safe enough to let your Self lead as we explore those more vulnerable feelings.

**Grounding notes:**
* Protectors often fear that if they relax, a ""polarized"" or vulnerable part will take over, leading to catastrophic consequences or ""exile overwhelm.""
* The goal is to help parts notice they are ""blended"" and encourage them to ""step back"" so the client’s Self can be present and provide leadership.
* Rather than fixing a part, the coach acts as a companion to the client's Self, helping them stay in relationship with their parts and ""speak for"" them rather than from them.",Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Therapy | PT01 > 01 Origins ; Internal Family Systems Couple Therapy | SEC02 > PT03 > Communication,5,4,4,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v004__v004_w1__hierarchical.json,hierarchical,"Client: After arguments, I just go numb. I can't feel much of anything.
Coach: When that numbness comes in, how do you experience it inside?
Client: It feels like everything goes flat. Like I disappear a little.
Coach: Does it seem possible that a part is stepping in there?
Client: Maybe. It almost feels like something puts up a wall.","It sounds like this ""wall"" is a protective part of your system that steps in to help you when things feel too intense. When you describe ""disappearing a little"" or everything going ""flat,"" it’s possible this part is using numbness to buffer you from the heat of the argument. In an IFS-informed approach, we see these responses not as flaws, but as parts with positive intentions that are trying to keep you safe from being overwhelmed.

I wonder if we could meet this ""wall"" with some curiosity. Instead of trying to push past it, we can acknowledge how hard it works to protect you. We might eventually ask this part what its job is and what it fears would happen if it didn't step in to make everything go flat. When protective parts like this one feel seen and understood by your Self, they often feel they can eventually relax.

If you feel a sense of curiosity toward this wall, that’s a great sign that you’re connecting with it from a place of Self-energy. We can go slowly and let this part know that we aren't trying to tear the wall down, but rather we want to understand the important role it plays in your internal family.

**Grounding notes:**
* Protective parts act as ""worker bees"" of the psyche, often sacrificing their own comfort to ensure the system's safety.
* Numbness or ""blunting"" is a known protective response to high-stress situations, often used to prevent emotional overwhelm.
* Befriending a part involves a non-judgmental stance, focusing on the part’s positive intentions rather than just its symptoms.
* Identifying a part’s ""job"" and its underlying ""fear"" (such as the fear of being overwhelmed by pain) is a key step in helping it differentiate from your core Self.",Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Therapy for Addictions | SEC04 > 03 Addiction Polarity ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment,5,4,3,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v004__v004_w1__medium_overlap.json,medium_overlap,"Client: After arguments, I just go numb. I can't feel much of anything.
Coach: When that numbness comes in, how do you experience it inside?
Client: It feels like everything goes flat. Like I disappear a little.
Coach: Does it seem possible that a part is stepping in there?
Client: Maybe. It almost feels like something puts up a wall.","It sounds like this ""wall"" is a protective part that steps in during moments of high stress, such as after an argument. In this framework, that experience of going ""flat"" or ""numb""—sometimes called blunting—is often a way a part tries to keep you safe by distancing you from intense emotions or physical sensations that might feel overwhelming.

As you notice this wall, you might try to get a little curious about its role without asking it to change yet. You could gently ask this protector what it is afraid would happen if it didn't put up that wall, or what it is trying to protect you from feeling in those moments. It may be guarding more tender or vulnerable parts of you that don't feel safe to come out during conflict.

If you can, try to extend some appreciation to this part for how hard it works to guard your vulnerability. Recognizing its vigilant effort can sometimes help the part feel seen, which is a helpful step toward creating more internal space and connection.

**Grounding notes:**
*   Numbness and ""disappearing"" can be understood as a state of blunting used to process intense stress.
*   Physical sensations like a ""wall"" or ""contraction"" often indicate the presence of a protective part.
*   Protective parts often have specific fears about what would happen if they allowed the heart to remain tender or open.
*   Appreciating a protector's hard work can help build trust between the client and that part of their system.",Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Therapy for Addictions | SEC04 > 12 Exile ; Internal Family Systems Therapy for Addictions | SEC01 > Overview,4,4,4,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v004__v004_w1__small_fixed.json,small_fixed,"Client: After arguments, I just go numb. I can't feel much of anything.
Coach: When that numbness comes in, how do you experience it inside?
Client: It feels like everything goes flat. Like I disappear a little.
Coach: Does it seem possible that a part is stepping in there?
Client: Maybe. It almost feels like something puts up a wall.","It sounds like this ""wall"" is a part that steps in with a very important job: to help you feel safe by making things go flat when things get intense. We can hold a lot of respect for its efforts to protect you in those moments. From an IFS perspective, we want to approach this part with curiosity and compassion, acknowledging that its intentions are likely positive, even if the numbness feels difficult to experience.

If it feels right, you might want to take a moment to focus internally and let this part know you are aware of its presence. You could gently ask it, ""Is there one thing, just for today, that you want me to know about you?"" This helps build a relationship between you and the part, allowing it to feel validated for the work it does to keep you from feeling overwhelmed.

Sometimes, a protective part like this puts up a wall because there is a more vulnerable or sad part underneath that it is trying to shield. By befriending the protector and listening to its fears, we can help it feel safe enough to differentiate, allowing more of your ""Self"" to be present and embodied during these difficult moments.

Grounding notes:
* Protective parts perform their ""jobs"" for a reason, and they benefit from being validated and understood rather than judged.
* Building a relationship between the ""Self"" and a part begins with curiosity and a simple acknowledgment of the part's presence.
* A protective part may step in to prevent the system from being overwhelmed by more vulnerable feelings or ""exiles"" hidden underneath.",Internal Family Systems Therapy for Addictions | SEC04 > 12 Exile ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Therapy for Addictions | SEC04 > 05 Deescalating,5,4,3,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v004__v004_w2__hierarchical.json,hierarchical,"Coach: If that wall-building part could speak, what might it say it is trying to do?
Client: Probably keep me from getting overwhelmed or hurt.
Coach: That sounds like it may be working hard for you.
Client: I never thought of it that way. I usually just judge myself for shutting down.
Coach: It may help to approach it with curiosity before trying to change it.","It is a significant shift to move from judging yourself for ""shutting down"" to recognizing that this wall-building part has been working hard to keep you safe. In this approach, we see every part as having a positive intention, even when its actions feel restrictive. This part is acting as a protector, likely trying to prevent the internal system from being flooded by ""overwhelm"" or deep-seated ""hurt"" that it believes you aren't yet ready to handle.

By approaching the part with curiosity instead of judgment, you are beginning to ""unblend"" from it. This means you are no longer just the person who is ""shut down""; you are now the observer who can witness the part’s efforts. This shift allows your Self to emerge, providing a compassionate space where the part can eventually share its specific fears. For many protectors, the greatest fear is that a vulnerable, exiled part of the system will ""take over"" with intense emotions if the protective wall is removed.

As you continue to befriend this part, the goal is not to force it to change but to earn its trust. We want to acknowledge its ""heroic"" efforts and eventually offer it a new possibility. If the underlying wounds it guards could be healed, this part might finally be relieved of its heavy burden and be free to try a different, less taxing role within your life.

Grounding notes:
* Protective parts operate with positive intentions, often working to prevent the system from being ""taken over"" by overwhelming emotional pain. [Rank 1, Rank 3]
* Shifting from judgment to curiosity facilitates ""unblending,"" allowing the client to notice the part rather than being fully identified with its behavior. [Rank 2, Rank 3]
* The coaching process involves validating how hard a protector has been trying and exploring its fears before offering it an alternative solution. [Rank 3, Rank 4]",Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Therapy for Addictions | SEC01 > Overview ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment,5,5,4,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v004__v004_w2__medium_overlap.json,medium_overlap,"Coach: If that wall-building part could speak, what might it say it is trying to do?
Client: Probably keep me from getting overwhelmed or hurt.
Coach: That sounds like it may be working hard for you.
Client: I never thought of it that way. I usually just judge myself for shutting down.
Coach: It may help to approach it with curiosity before trying to change it.","It makes a lot of sense that a part of you would step in to build a wall when it senses the potential for hurt or overwhelm. In the IFS perspective, we see these as ""protectors"" who have the heavy responsibility of managing your internal safety. Rather than being a sign of a problem, this ""wall-building"" is often an ecologically sensitive response to a perceived threat. This part likely believes its duty is to ensure that opening up doesn't make matters worse for you.

You also mentioned a tendency to judge yourself for shutting down. This suggests there might be another part present—perhaps a ""manager"" part that is critical of the wall. When we feel that self-judgment, we are often ""blended"" with a judgmental part rather than being in our ""Self."" It is very common for protectors to fear or judge one another, which can keep your internal system in an extreme or polarized position.

Instead of trying to force the wall to come down, we can start by offering it appreciation for how hard it has worked to protect you. Protectors are often much more willing to soften or ""unblend"" when they feel understood and validated rather than pressured to change. By approaching both the ""wall-builder"" and the ""judge"" with curiosity, we can begin to restore trust in your Self-leadership and create a safer space for your internal system.

**Grounding notes:**
* Protectors have a duty to ensure that moving too fast or opening up does not make things worse for the client's inner system.
* When a person feels self-disgust or judgment toward their own behavior, they are likely ""blended"" with a judgmental manager part.
* Protective parts generally do not change their rigid tactics until they feel the internal system is less vulnerable and their role is appreciated.",Internal Family Systems Therapy | PT01 > 01 Origins ; Internal Family Systems Therapy for Addictions | SEC01 > Overview ; Internal Family Systems Couple Therapy | SEC02 > PT03 > Communication,5,4,3,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v004__v004_w2__small_fixed.json,small_fixed,"Coach: If that wall-building part could speak, what might it say it is trying to do?
Client: Probably keep me from getting overwhelmed or hurt.
Coach: That sounds like it may be working hard for you.
Client: I never thought of it that way. I usually just judge myself for shutting down.
Coach: It may help to approach it with curiosity before trying to change it.","It is a significant shift to see this ""wall-building"" part as a protector rather than a flaw. It sounds like this part has been working very hard to prevent you from feeling overwhelmed or hurt. When we approach these parts with curiosity rather than judgment, they often feel safer and more willing to share what they are afraid might happen if they were to stop their work.

You also mentioned a part of you that judges the shutting down. It is common for different parts to have conflicting views; while one part builds a wall to keep you safe, another part may worry about the consequences of that wall. By noticing both of these parts, you are beginning to ""unblend"" from them. This allows you to be a compassionate companion to your inner system, rather than being caught in the middle of the conflict.

As you continue to notice these parts and their intentions, you might simply acknowledge the wall-builder’s efforts. When parts feel seen and understood by you, they often feel less of a need to take such extreme positions to protect you.

**Grounding notes:**
*   Protective parts often take on extreme roles because they fear that relaxing will lead to catastrophic overwhelm or hurt.
*   A primary goal is to help the client's Self differentiate, or ""unblend,"" from parts so they can interact with them from a place of curiosity.
*   Parts feel safer and are more likely to step back when they feel the presence of the client’s Self.
*   The coach acts as a ""parts detector"" to help the client identify and interview parts about their positive intentions and fears.",Internal Family Systems Therapy | PT01 > 01 Origins ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Therapy for Addictions | SEC01 > Overview,5,4,5,3,yes,no,strong IFS framing; explicit grounding behavior; some template-like phrasing,auto_eval_v2
v005__v005_w1__hierarchical.json,hierarchical,"Client: Part of me wants to rest, but another part says I'm being lazy if I do.
Coach: It sounds like there may be at least two parts there. What do you notice about each one?
Client: One feels exhausted and desperate for a break. The other is sharp and demanding.
Coach: How does the demanding one seem to view rest?
Client: Like rest is dangerous. Like if I slow down, everything will fall apart.","It is very common to experience this kind of internal tug-of-war. The ""sharp and demanding"" part you are describing sounds like a protector—often called a manager—that is working hard to ensure you stay productive and successful. In an internal family system, managers are future-oriented and proactive; they often believe that if they aren't vigilant and critical, things will descend into chaos or you will be viewed negatively by others.

This part’s fear that rest is ""dangerous"" reveals its positive intention: it is trying to protect you from what it perceives as a total collapse. When one part of you feels exhausted and desperate for a break, this demanding protector may become even more extreme to counterbalance that urge, creating a polarization. From the perspective of this manager, the ""exhausted"" part’s need for rest might look like a threat to the stability it has worked so hard to maintain.

We can stay curious about this sharp part and acknowledge how much responsibility it has been carrying. It likely feels it has no choice but to be demanding because it doesn't yet trust that things will stay together without its constant pressure. By witnessing its fears without judgment, we can help it feel understood, which is often the first step toward allowing the system to find a healthier balance between accomplishment and necessary renewal.

Grounding notes:
* Managers are proactive protectors that use criticism and striving to ensure stability and personal success.
* Polarization occurs when two parts move in opposite directions to keep the system safe, often leading to an internal power struggle.
* Protective parts, including those that are sharp or critical, have positive intentions and act out of fear that the internal system will collapse or be overwhelmed.
* Firefighters or rest-oriented parts aim to provide relaxation and relief, but they can be viewed as ""dangerous"" by managers who value constant productivity.",Internal Family Systems Therapy for Addictions | SEC01 > Overview ; Internal Family Systems Therapy for Addictions | SEC01 > Overview ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment,5,4,5,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v005__v005_w1__medium_overlap.json,medium_overlap,"Client: Part of me wants to rest, but another part says I'm being lazy if I do.
Coach: It sounds like there may be at least two parts there. What do you notice about each one?
Client: One feels exhausted and desperate for a break. The other is sharp and demanding.
Coach: How does the demanding one seem to view rest?
Client: Like rest is dangerous. Like if I slow down, everything will fall apart.","It sounds like you are becoming a ""parts detector,"" noticing the clear difference between the part of you that is exhausted and the ""sharp and demanding"" part that views rest as a threat. It makes a lot of sense that this demanding part would be so loud if it truly believes that slowing down is dangerous. In IFS, we see these types of demanding voices as protective managers that are often trying to prevent a perceived disaster, such as everything ""falling apart.""

As you notice this sharp, demanding part right now, how do you feel toward it? If you feel anything other than curiosity or compassion—perhaps frustration or a sense of being judged—it might mean another part is reacting to it. By taking a moment to see this demanding part’s intention, we can start to understand what it is so afraid would happen if it stopped being so ""sharp.""

We don’t have to force this part to change or stop its behavior yet. Instead, we can simply acknowledge how hard it is working to keep things stable. When it feels heard, we might eventually be able to ask it what it would need in order to feel safe enough to let the exhausted part get some of the rest it desperately needs.

**Grounding notes:**
*   Protective parts often use demanding or loud voices because they believe their behavior is necessary to prevent a negative outcome or ""disconnection"" (Rank 1).
*   When a person feels judgmental or ""dismayed"" by their own behavior, they may be ""blended"" with a manager part rather than being in a state of curious Self (Rank 3).
*   Asking ""How do you feel toward the part?"" is a primary tool to check for unblending and to see if the client can connect with the part from a place of curiosity (Rank 3).
*   Understanding a part's intentions involves asking what it is concerned would happen if it stopped its current protective role (Rank 1).",Internal Family Systems Couple Therapy | SEC02 > PT02 > Heart Of Matter ; Internal Family Systems Therapy for Addictions | SEC03 > Assesment ; Internal Family Systems Therapy for Addictions | SEC01 > Overview,5,5,4,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v005__v005_w1__small_fixed.json,small_fixed,"Client: Part of me wants to rest, but another part says I'm being lazy if I do.
Coach: It sounds like there may be at least two parts there. What do you notice about each one?
Client: One feels exhausted and desperate for a break. The other is sharp and demanding.
Coach: How does the demanding one seem to view rest?
Client: Like rest is dangerous. Like if I slow down, everything will fall apart.","It is very clear how these two parts are interacting right now. You have one part that is exhausted and desperate for relief, and another—acting much like a ""manager""—that uses a sharp, demanding tone to keep you in line because it views rest as dangerous. This demanding part seems to believe that if it doesn't stay vigilant, everything will fall apart, which is a very heavy burden for it to carry.

In an IFS approach, we look at these loud, demanding parts with curiosity rather than judgment. Just as a part might get loud to ensure needs are met or to prevent a situation from feeling hopeless, your demanding part likely has a protective intent. It may be trying to protect you from a specific fear or consequence it deems ""dangerous."" 

We might gently wonder: if this part didn't push you so hard, what is it afraid would happen to you? By understanding what it is ""hoping for"" or trying to prevent, we can begin to understand its role in your internal system. This helps us see the pattern of how these parts react to one another without needing to moralize the demanding part's behavior.

**Grounding notes:**
*   A ""manager"" part often makes rules and tries to keep the system ""in line"" to avoid negative outcomes.
*   Loud and demanding parts often act out of a protective intent to prevent something they perceive as dangerous or hopeless.
*   Understanding what a protective part is ""hoping for"" or afraid of can help clarify its role in the internal system.
*   Reflecting on what might happen if a demanding part stopped its behavior can reveal its underlying concerns and needs.",Internal Family Systems Couple Therapy | SEC02 > PT02 > Heart Of Matter ; Internal Family Systems Therapy for Addictions | SEC04 > 05 Deescalating ; Internal Family Systems Couple Therapy | SEC02 > PT02 > Heart Of Matter,4,4,3,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
